UserId,HiredForJobId,Skills,UsersPosition,EnglishLevel,YearsOfExperience
685478,902,".net, sql server, javascript, typescript, angular, vue.js, ionic framework",Full Stack Developer,0,12
726160,946,"java, bamboo, relational database, soap, ejb, linux, aws, fitnesse, junit, unit testing, hibernate, rest api, javascript, angular, typescript, sql and oracle pl/sql developer, maven, spring boot, scrum",Fullstack Developer,3,4
656464,976,"docker, oracle db, postgresql, java, git, spring, rest api, ant, maven, ci/cd automation, ability to meet deadlines., accounting, adaptability, b2b, spring data, spring jpa, spring jdbc, rabbit mq, spring cloud, lead developer, java patterns, lombok, jersey, crucible, bitbucket, team player, teamwork, odata, ownership, sonarqube, checkstyle, pmd, fortify, java sdk 1.5 1.6 1.7 and 1.8, javascript, microservices, github, spring boot, design patterns, unit testing, integration test, jboss, tomcat, aws, junit, hibernate, json",Developer,3,10
673774,976,"angular, architectural patterns, cloud computing, design patterns, spring boot, spring, scrum, agile development methodology, mulesoft, sql, ejb3 +, jsf, jsp, struts, hibernate, jpa, integration architecture, software architecture, uml, tdd, containerization, mobile application development, test automation, sonar, json, mongodb, junit, git, redis, kubernetes, jee 4/5/6/7, jenkins, aws, postgresql, maven, mysql, kanban, node.js, architecture, rest api, jquery, quartz, ec2, javascript, leadership, algorithms, api, front end, databases, python, agile, java, react.js, soa, web services, docker, continuous integration, microservices",Java Architect and Senior Java Developer,3,13
680888,976,"postgresql, architecture, junit, java, sql server, git, react.js, test automation, spring, node.js, jsf, jsp, php",Software Developer,3,12
674459,996,"ux, ui",Senior UX/UI Designer,3,9
678347,1030,"technical recruitment, biometrics, tech recruiting, workflow, budgetary management, contracts analysis, statistics, cisco certified networking associate, offshore, microsoft outlook, teaching, qa director certified",IT RECRUITER,0,7
677507,1098,"sql server, spring, jsf, jsp, javascript, php, xml, iis, itil, soap, architecture, postgresql, aws, azure, rest api, java, maven",Software Engineer,4,9
680879,1124,"mongoose, test automation, sql, redis, graphql, api, sass, ui, saas, postgresql, ux, redux-saga, styled-components, php, agile, es7, english, html, css, heroku, rest api, restify, swagger, now.sh, mysql, bluemix, docker, es6, babeljs, webpack, eslint, mochajs, redux, firebase, mongodb, server less, node.js, aws, react.js, react native, javascript, express.js",React Application Architect,3,11
679232,1134,"augmented reality, c, c++, unix, virtual reality, hololens developer, oracle db, pl/sql, opengl, computer graphics, opencv, python, java, c#, xcode, ios",Architect - Technology,4,15
639275,1160,"gulp, react native, visual studio online (ci), version controll, jquery, continuos deployment, continuous integration, automated testing, linux, docker, agile, front end, javascript, vue.js, php, laravel, mysql, react.js, css, sass, angular, html",Senior Software Engineer (fullstack),3,8
676455,1161,"sketch, aws, git, npm, es6, front end, api, node.js, webpack, redux, rest api, meteor, coffeescript, javascript, docker, react.js, amazon web services, html, css, progressive web apps, mongodb, ecmascript",Lead Full Stack Developer,3,6
680450,1165,"tcpdump, http, itil, git flow, docker, linux, ansible, terraform, jenkins, cloud computing, security operations, sonarqube, gitlab, github, postgresql, mysql, dns, nginx, apache, jboss, jvm, gradle, elk stack, sensu, aws, pci-dss, System Administration, python, shell script, ftp",Devops Engineer Senior,0,13
637516,1166,"spring mvc, kafka, java, angular, oracle db, mysql","System Analyst/Full Stack Developer (Java, Angular",3,8
684561,1167,"postgresql, redux, redux-saga, javascript, php, react.js, html, css, sql, linux",Front-End Developer,3,4
640213,1177,"json, material ui, materialize, mongodb, mysql, node.js, php, react.js, rest api, es6, responsive web design, javascript, desktop applications, full stack, bootstrap, css, express.js, firebase, flexbox, git, github, heroku, html, java, redux, webpack, web development, nosql databases, nosql, sql, front end, backend development, postgresql, software development, enterprise integration patterns (eip)",Full Stack Web Developer,3,9
654749,1177,"es6, node.js, express.js, mongodb, api, vue.js, sql, javascript, linux, microsoft office, html, bootstrap, json, web development, ux, css, grunt, seo, less, ajax, lamp, svn, docker, mac os, bash script, rest api, microservices, aws, phalcon, postman, auth0, php, jquery, git, backend development, testing, databases, web applications, redis, english, spanish, spanish - mother tongue, mysql, digital ocean",Full Stack Web Developer,4,15
715924,1177,"node.js, java, angular, electron.js, maven, cucumber, gherkin, bdd - behavior-driven development, php, backend development, spring, confluence, nosql, rest api, es2015, es6, ecmascript, symfony-php, cakephp, angular 1.x, angular 5, sql, mysql, mongodb, nedb, feathersjs, git, bitbucket, jira, bootstrap, chart.js, javascript, mentoring, web development, nedb, featherjs, node, angularjs, npm, react js, html, css, agile methodologies, kanban, aws, postgresql, saas, agile, mvc, mochajs, design patterns, object oriented design, mysql, sqlite, sequelize, sass, scss, less, less / sass, mobile development, webpack, android, react.js",Senior Software Developer,3,10
666408,1180,"java, salesforce.com, heroku, mongodb, oracle db, nosql databases, spring cloud, j2ee, angular, Big Data, machine learning, iot, spring boot, apache kafka, apache activemq, aws, cassandra, microservices, react.js, postgresql, mysql, node.js",Full Stack Engineer ( BigData / Cloud ),3,4
645561,1192,"jquery, git, angular, ruby on rails, javascript, elasticsearch, sql, sass, html",Full Stack Ruby Developer,3,10
682321,1200,"raspberry pi, ec2, jenkins, terraform, linux, windows and linux servers, github, docker, devops, cloud computing, amazon ec2, amazon web services, bash script, aws, infrastructure, vmware administration",Cloud/DevOps Engineer,4,4
665279,1230,"node.js, fast learning, communication, full stack, agile, react.js, backend development, web development, api, dagger, redux, css, continuous delivery, continuous integration, front end, software development, mysql, leadership, c, aws, clean code, clean architecture, mongodb, realm, html, mobile applications, mobile application development, mobile development, git, rest api, progressive web apps, ux, ui, kotlin, android, android framework, android api, java, javascript, startups, angular, reactivex (rxjava, rxphp, rxswift), json, agile development methodology, c#, firebase, nosql, scrum master certified, software architecture, software engineering, sql, react native",Android Software Engineer,3,3
680545,1236,"php, javascript, laravel, database administration, mobile application development, api, aws, software development, sass, agile methodologies, front end, unit testing, oop, elasticsearch, databases, database design, database tuning, html, rest api, backend development, css, agile development methodology, mysql, vue.js, angular, ionic2, postgresql, jquery, wordpress, ability to meet deadlines., scrum, git, object orientation",Dedicated / detailed oriented full stack developer,4,11
682510,1246,"c++, java, sybase, sql development, c",Senior Software Developer C/C++/Java,3,5
677100,1262,"object oriented analysis and design, c#, ASP.Net MVC, javascript, entity framework, sql, sql server, css, scss, html, vue.js, angular, git, jira, ado.net, visual studio, jquery ui, linq, powershell, d3.js, agile, backbone.js, knockoutjs, .net, mvc, english, design patterns, rest api, backend development, relational database, azure, api, nosql databases, jquery, mvvm, front end, software developer, software development",Full-Stack Software Developer (C#/.NET),4,5
696630,1264,"español, json, sap, sap abap developer certified, angular, mongodb, mongoose, express.js, node.js, es2015, eslint, aws, team leadership, team management, team player, team work spirit, teamwork, teamwork oriented, teamwork, dedication and honesty., docker, english, problem management, problem solving, communication, open source, devops, infrastructure, speak spanish, javascript, abap, fiori, sap ui5, saas, full stack, fast learning, agile, backend development, front end, strong communication skills, css, ecmascript, git, github, agile methodologies, mobile development, people management, software architecture, cms, marketing, mobile application development, mobile applications, support, product management, gulp, azure, api, continuous integration, nosql, rest api, xml, html, google cloud, es6, es7",Make a better world through technology,4,15
634908,1265,"agile, agile development methodology, agile methodologies, es2015, continuous integration, ci/cd automation, docker, mongodb, node.js, git, github, gradle, heroku, html, css, java, javascript, mochajs, chai, es6, postgresql, python, react.js, angular, redux, sinon, spring boot, tdd, test-driven development (tdd), unix, jenkins, circle ci, webpack, junit, mockito, rest api, aws, microservices, oop, nosql",Full Stack Developer,3,8
699955,1271,"software architecture, it solutions architect, docker, microservices, kubernetes, containerization, infrastructure, systems integration, devops, agile methodologies, machine learning, cloud computing, manufacturing knowledge, web applications, databases, api, architecture, security and risk management",IT Solutions Architect,3,8
673900,1272,"rest api, technical documentations, api, python, selenium, jenkins, kanban, test planning and test script, bdd - behavior-driven development, sql query, agile methodologies, json, communication, ctfl foundation, community manager, volunteer work, uft, events management, test automation, testlink, cucumber, java, quality assurance, quality center, scrum, testing",Software QA Engineering,3,8
646568,1275,"data modeling and systems analysis, gis, agile, mysql, storage, object orientation, object oriented analysis and design, scrum master, team leadership, lead developer, git, git flow, github, google cloud, lambda expressions, server less, team management, scientific computing, postgresql, node.js, software engineering, devops, react.js, archlinux, algorithms, flux, oauth2, etl, open source, containerization, aws, google app engine, debian, ember.js, express.js, graphql, rest api, redux, yii, docker, yarn, npm, geoserver, microservices, owasp, data analysis, firebase, geoprocessing, php, web development, html, jquery, pl/sql, ruby on rails, javascript, python, linux","Software Engineer, Fullstack Developer",3,8
678569,1276,"swift, firebase, java, typescript, ios, kotlin, android, git, graphql, ci/cd automation","Android Engineer, iOS Engineer",4,4
